"image_id","pred_caption"
"000000230707.jpg","Một người đàn ông đang đưa vợt tennis ra trước để chuẩn bị phát bóng ."
"000000078466.jpg","Một nữ vận động viên tennis đang thả diều ở trên sân ."
"000000581096.jpg","Nữ vận động viên tennis áo xanh đang chuẩn bị phát bóng ."
"000000261477.jpg","Người đàn ông đang cầm vợt tennis đứng chân ."
"000000238712.jpg","Hai vận động viên tennis đang bắt tay nhau ở trên sân ."
"000000364934.jpg","Các nữ cầu thủ đang chạy theo quả bóng ở trên sân ."
"000000125769.jpg","Trận bóng chày đang diễn ra với quả bóng đang bay trên không ."
"000000102225.jpg","Trận bóng chày đang diễn ra với một cầu thủ đang vung gậy ."
"000000484186.jpg","Trận bóng chày đang diễn ra với một cầu thủ đang vung gậy ."
"000000348684.jpg","Trận bóng chày đang diễn ra với một cầu thủ đang vung gậy ."
"000000298306.jpg","Những cô bé và cậu bé đang xếp hàng ở trên sân tennis ."
"000000443618.jpg","Hai vận động viên tennis cùng đội đang đứng trên sân bàn bạc ."
"000000559053.jpg","Lễ hội thả diều đang diễn ra trong một khu nghỉ dưỡng ven biển ."
"000000146560.jpg","Nữ cầu thủ áo trắng đang cản phá quả bóng bằng một quả bóng ."
"000000211283.jpg","Có một con diều đang bay lơ lửng trên bãi cỏ ."
"000000242453.jpg","Trận bóng chày đang diễn ra với quả bóng đang bay trên không ."
"000000139095.jpg","Các cầu thủ đang thi đấu bóng đá ở trên sân ."
"000000178052.jpg","Các nữ cầu thủ đang thi đấu bóng đá ở trên sân ."
"000000526968.jpg","Một người đàn ông đang thả diều trên bãi cỏ ."
"000000134479.jpg","Một nam vận động viên tennis đang chuẩn bị phát bóng ."
"000000161157.jpg","Nữ vận động viên váy xanh đang đưa vợt ra sau trong khi nữ vận động viên áo xám đang chuẩn bị phát bóng ."
"000000101842.jpg","Nữ vận động viên váy xanh đang đưa vợt ra sau trong khi nữ vận động viên áo xám đang chuẩn bị phát bóng ."
"000000043431.jpg","Một trận tennis đang diễn ra với nhiều khán giả đang quan sát ."
"000000289684.jpg","Ngời đàn ông áo đỏ đang chơi tennis trên sân ."
"000000498173.jpg","Một người đàn ông đang đưa vợt ra để đánh quả bóng tennis ."
"000000545116.jpg","Những đứa trẻ đang cầm những quả bóng và đứng ở trước những con hươu cao cổ ."
"000000371648.jpg","Một người đàn ông đang đưa vợt tennis ra trước để chuẩn bị phát bóng ."
"000000113857.jpg","Hai vận động viên tennis cùng đội đang thi đấu trên sân ."
"000000274047.jpg","Trận bóng chày đang diễn ra với một cầu thủ đang vung gậy ."
