"image_id","pred_caption"
"1035019794.jpg","Trận bóng chày đang diễn ra với một cầu thủ cầm gậy sẵn sàng đánh trả bóng ."
"1043910339.jpg","Trận bóng chày đang diễn ra với cầu thủ ném bóng đang ném bóng về phía trước ."
"1080230428.jpg","Những người đàn ông đang quan sát đường bay của quả bóng ."
"111796099.jpg"," Hươu cao cổ đang chơi tennis trên sân ."
"1500576335.jpg","Cầu thủ áo xám đang theo dõi cú ném bóng của cầu thủ ném bóng ."
"1597319381.jpg","Các cầu thủ bóng đá đang thả diều ở trên sân ."
"1875237930.jpg","Nữ cầu thủ áo trắng đang bay đến để tranh bóng với nữ cầu thủ áo xanh ."
"198534816.jpg","Trận đấu bóng chày đang diễn ra với cầu thủ ném bóng đang ném bóng về phía trước ."
"2113530024.jpg","Các cầu thủ bóng đá đang di chuyển ở phía sau quả bóng ."
"2155529081.jpg","Một số người đàn ông đang cùng nhau chơi với bóng trên sân ."
"2155533127.jpg","Các cầu thủ bóng đá đang thi đấu trên sân với đám đông đang quan sát ."
"2194450229.jpg","Một nữ vận động viên tennis đang nhảy lên để đánh bóng ."
"2247192427.jpg","Hai cậu bé còn lại đang theo dõi chuyển động của cậu bé còn lại ."
"2256231539.jpg","Những đứa trẻ đang thả diều và những đứa trẻ đang đá bóng trên diều ."
"2341594530.jpg","Các cô bé và cậu bé đang thả diều ở trên sân ."
"2370481277.jpg","Những đứa trẻ của hai đội bóng đang cùng nhau thả diều trên sân ."
"2385547130.jpg"," Hươu cao cổ đang chơi tennis trên sân trước nhiều người quan sát ."
"241347067.jpg","Cầu thủ áo xám đang đuổi theo cầu thủ áo trắng ở trên sân ."
"2473956981.jpg","Các cô bé và cậu bé đang thả diều ở trên sân ."
"253664826.jpg","Hai người đàn ông đang đá bóng trong khi một người đang thả diều ."
"269986132.jpg","Các nữ cầu thủ áo xanh đang bay ở trên sân để tranh chấp bóng ."
"2710563762.jpg","Nữ cầu thủ áo trắng đang tranh chấp bóng với nữ cầu thủ áo xanh ."
"2737233999.jpg","Hai cô gái đang thả diều ở cạnh bờ hồ ."
"2806006698.jpg","Một người đàn ông đang bay người để né quả bóng ."
"2926595608.jpg","Các cầu thủ bóng rổ đang thả diều trên sân ."
"2939371251.jpg","Các cầu thủ bóng đá đang thả diều ở trên sân ."
"2949762776.jpg","Cầu thủ áo xám đang theo dõi chuyển động của cầu thủ áo xanh ."
"2990967923.jpg"," Hươu cao cổ đang chơi tennis trên sân ."
"3009542570.jpg","Các cậu bé đang xếp hàng để lần lượt thả diều ."
"3170856184.jpg","Cầu thủ áo trắng đang nhảy lên để ngăn cản pha ghi bàn của cầu thủ áo xanh ."
"3182558164.jpg","Các cầu thủ bóng rổ đang tranh chấp bóng với nhau ."
"3221128704.jpg","Cầu thủ áo trắng đang nhảy lên để ngăn cản pha ghi bàn của cầu thủ áo xanh ."
"3222702477.jpg","Một cầu thủ áo xanh đang ngã trong khi hai cầu thủ khác đang di chuyển ."
"3232470286.jpg","Một số người đàn ông đang đá bóng trên sân cỏ dưới trời nắng ."
"3252065328.jpg","Các cô gái đang thả diều ở trên bãi biển ."
