"image_id","pred_caption"
"1035019794.jpg","Trận bóng chày đang diễn ra với một cầu thủ vung gậy đỡ bóng ."
"1043910339.jpg","Cầu thủ bắt bóng đang theo dõi cú đánh bóng của cầu thủ đánh bóng ."
"1080230428.jpg","Những người đàn ông khác đang theo dõi đường bay của quả bóng ."
"111796099.jpg","Khán giả đang theo dõi cú đánh bóng của nữ vận động viên tennis ."
"1500576335.jpg","Cầu thủ áo đỏ trắng đang dùng chân để cản cầu thủ áo xanh ."
"1597319381.jpg","Các cầu thủ áo xanh đang tranh chấp bóng với cầu thủ áo vàng ."
"1875237930.jpg","Nữ vận động viên váy xanh đang vươn người để cứu bóng trong khi người còn lại đang đứng nhìn ."
"198534816.jpg","Trận bóng chày đang được diễn ra trên sân vận động ."
"2113530024.jpg","Các cầu thủ áo xanh đang nhảy lên để tranh bóng với cầu thủ áo trắng ."
"2155529081.jpg","Các cầu thủ áo trắng đang xếp thành một hàng ngang để lập hàng rào ở trước khung thành ."
"2155533127.jpg","Cầu thủ áo trắng đang tranh chấp bóng với cầu thủ áo đỏ ."
"2194450229.jpg","Một nữ vận động viên tennis đang dùng vợt để đánh bóng ."
"2247192427.jpg","Các cậu bé áo sọc đang đuổi theo cậu bé áo trắng với quả bóng ở trong tay ."
"2256231539.jpg","Các cậu bé áo sọc đang đuổi theo cậu bé áo trắng với quả bóng ở trên sân ."
"2341594530.jpg","Những cô bé đang di chuyển ở trước khung thành cùng với quả bóng ."
"2370481277.jpg","Các cậu bé đang tranh chấp bóng ở trên sân ."
"2385547130.jpg","Một số người đang cầm vợt tennis đứng trên sân tennis thảo luận ."
"241347067.jpg","Các cầu thủ đang tranh chấp bóng ở trên sân ."
"2473956981.jpg","Nữ cầu thủ áo trắng đang cố ngăn cản pha cướp bóng của nữ cầu thủ áo vàng ."
"253664826.jpg","Một cầu thủ khác đang theo dõi cú ném bóng của cầu thủ ném bóng ."
"269986132.jpg","Các nữ cầu thủ áo hồng đang đuổi theo nữ cầu thủ áo xanh để tranh bóng ."
"2710563762.jpg","Các nữ cầu thủ đang tranh chấp bóng ở trên sân ."
"2737233999.jpg","Hai cậu bé đang vung gậy bóng chày đánh trả bóng trong trận ."
"2806006698.jpg","Hai người đàn ông khác đang theo dõi cú ném bóng của người đàn ông ném bóng ."
"2926595608.jpg","Những người đàn ông đang ngồi trên ghế với dụng cụ thể thao ."
"2939371251.jpg","Các cầu thủ bóng đá đang chạy theo quả bóng ở trên sân ."
"2949762776.jpg","Các cầu thủ áo đen đứng xung quanh cầu thủ áo đỏ ."
"2990967923.jpg","Những đứa trẻ đang theo dõi cú đánh bóng của đứa trẻ áo đen ."
